NOMCOMAR,Vianants,Bicicletes,Ciclomotors,Motocicletes,Vehicles lleugers,Vehicles pesants,Unitats implicades
Alt Camp,0.08707865168539326,0.03932584269662921,0.011235955056179775,0.15730337078651685,0.5870786516853933,0.10393258426966293,1.0
Alt Emporda,0.10562310030395136,0.05243161094224924,0.03875379939209726,0.17553191489361702,0.540273556231003,0.07142857142857142,1.0
Alt Penedes,0.12263099219620958,0.06465997770345597,0.028985507246376812,0.1750278706800446,0.5039018952062431,0.09364548494983277,1.0
Alt Urgell,0.0390625,0.07552083333333333,0.0078125,0.22135416666666666,0.5833333333333334,0.0546875,1.0
Alta Ribagorca,0.08928571428571429,0.07142857142857142,0.017857142857142856,0.19642857142857142,0.5,0.10714285714285714,1.0
Anoia,0.10179640718562874,0.03293413173652695,0.041916167664670656,0.1661676646706587,0.4940119760479042,0.1407185628742515,1.0
Bages,0.1371647509578544,0.04827586206896552,0.038314176245210725,0.14022988505747128,0.5632183908045977,0.06283524904214559,1.0
Baix Camp,0.16539440203562342,0.06955046649703138,0.0364715860899067,0.16030534351145037,0.5004240882103478,0.05597964376590331,1.0
Baix Ebre,0.0877742946708464,0.0438871473354232,0.08620689655172414,0.09717868338557993,0.5407523510971787,0.12539184952978055,1.0
Baix Emporda,0.10505319148936171,0.0797872340425532,0.06648936170212766,0.1595744680851064,0.5292553191489362,0.05319148936170213,1.0
Baix Llobregat,0.13565426170468187,0.04951980792316927,0.03601440576230492,0.2469987995198079,0.46788715486194477,0.053721488595438176,1.0
Baix Penedes,0.14488188976377953,0.06299212598425197,0.05511811023622047,0.14960629921259844,0.494488188976378,0.06929133858267716,1.0
Barcelones,0.16012987012987012,0.03532467532467533,0.043116883116883116,0.32142857142857145,0.3696103896103896,0.05805194805194805,1.0
Bergueda,0.11023622047244094,0.05249343832020997,0.026246719160104987,0.1784776902887139,0.5695538057742782,0.03674540682414698,1.0
Cerdanya,0.035856573705179286,0.0398406374501992,0.00796812749003984,0.2350597609561753,0.5936254980079682,0.055776892430278883,1.0
Conca de Barbera,0.0379746835443038,0.0379746835443038,0.02531645569620253,0.1962025316455696,0.6075949367088608,0.08860759493670886,1.0
Garraf,0.10427135678391959,0.056532663316582916,0.06155778894472362,0.271356783919598,0.47361809045226133,0.02135678391959799,1.0
Garrigues,0.04411764705882353,0.03431372549019608,0.029411764705882353,0.06862745098039216,0.5294117647058824,0.27941176470588236,1.0
Garrotxa,0.16458852867830423,0.08728179551122195,0.06982543640897755,0.12219451371571072,0.47880299251870323,0.06234413965087282,1.0
Girones,0.12171837708830549,0.06205250596658711,0.05568814638027048,0.1654733492442323,0.5155131264916468,0.06921241050119331,1.0
Maresme,0.1314968814968815,0.05093555093555094,0.07224532224532225,0.23336798336798337,0.47713097713097713,0.02754677754677755,1.0
Moianès,0.0582010582010582,0.0582010582010582,0.0,0.32275132275132273,0.49206349206349204,0.0582010582010582,1.0
Montsia,0.14171656686626746,0.05588822355289421,0.0499001996007984,0.08183632734530938,0.5489021956087824,0.10379241516966067,1.0
Noguera,0.066815144766147,0.0334075723830735,0.0200445434298441,0.155902004454343,0.6124721603563474,0.10022271714922049,1.0
Osona,0.140625,0.0625,0.03993055555555555,0.14930555555555555,0.5442708333333334,0.04861111111111111,1.0
Pallars Jussa,0.07857142857142857,0.02857142857142857,0.0,0.2,0.6357142857142857,0.05,1.0
Pallars Sobira,0.0594059405940594,0.0594059405940594,0.0,0.3069306930693069,0.4752475247524752,0.04950495049504951,1.0
Pla d'Urgell,0.07307692307692308,0.057692307692307696,0.06153846153846154,0.1,0.5923076923076923,0.10384615384615385,1.0
Pla de l'Estany,0.09205020920502092,0.07112970711297072,0.08368200836820083,0.10460251046025104,0.5523012552301255,0.08786610878661087,1.0
Priorat,0.0425531914893617,0.06382978723404255,0.010638297872340425,0.3723404255319149,0.40425531914893614,0.0851063829787234,1.0
Ribera d'Ebre,0.04602510460251046,0.0502092050209205,0.03347280334728033,0.1297071129707113,0.6108786610878661,0.11297071129707113,1.0
Ripolles,0.045112781954887216,0.09022556390977443,0.007518796992481203,0.2556390977443609,0.518796992481203,0.06766917293233082,1.0
Segarra,0.0787037037037037,0.032407407407407406,0.018518518518518517,0.0787037037037037,0.6064814814814815,0.16666666666666666,1.0
Segria,0.1681528662420382,0.0535031847133758,0.04267515923566879,0.11146496815286625,0.5165605095541401,0.09171974522292993,1.0
Selva,0.08689138576779026,0.041947565543071164,0.06142322097378277,0.20149812734082398,0.50187265917603,0.09887640449438202,1.0
Solsones,0.0625,0.05113636363636364,0.005681818181818182,0.4090909090909091,0.42613636363636365,0.03977272727272727,1.0
Tarragones,0.18481375358166188,0.03724928366762178,0.04011461318051576,0.17550143266475646,0.4806590257879656,0.0680515759312321,1.0
Terra Alta,0.03,0.06,0.05,0.24,0.45,0.14,1.0
Urgell,0.06666666666666667,0.014285714285714285,0.03333333333333333,0.1,0.6285714285714286,0.1380952380952381,1.0
Val d'Aran,0.13333333333333333,0.02857142857142857,0.009523809523809525,0.08571428571428572,0.6285714285714286,0.08571428571428572,1.0
Valles Occidental,0.1464160839160839,0.037587412587412584,0.03802447552447553,0.21678321678321677,0.49759615384615385,0.053758741258741256,1.0
Valles Oriental,0.10586097228532486,0.05134029986369832,0.030895047705588367,0.19491140390731485,0.5442980463425715,0.06587914584279873,1.0
