NOMCOMAR,Vianants,Bicicletes,Ciclomotors,Motocicletes,Vehicles lleugers,Vehicles pesants,Unitats implicades
Alt Camp,31,14,4,56,209,37,356
Alt Emporda,139,69,51,231,711,94,1316
Alt Penedes,110,58,26,157,452,84,897
Alt Urgell,15,29,3,85,224,21,384
Alta Ribagorca,5,4,1,11,28,6,56
Anoia,68,22,28,111,330,94,668
Bages,179,63,50,183,735,82,1305
Baix Camp,195,82,43,189,590,66,1179
Baix Ebre,56,28,55,62,345,80,638
Baix Emporda,79,60,50,120,398,40,752
Baix Llobregat,452,165,120,823,1559,179,3332
Baix Penedes,92,40,35,95,314,44,635
Barcelones,1233,272,332,2475,2846,447,7700
Bergueda,42,20,10,68,217,14,381
Cerdanya,9,10,2,59,149,14,251
Conca de Barbera,6,6,4,31,96,14,158
Garraf,83,45,49,216,377,17,796
Garrigues,9,7,6,14,108,57,204
Garrotxa,66,35,28,49,192,25,401
Girones,153,78,70,208,648,87,1257
Maresme,253,98,139,449,918,53,1924
Moianès,11,11,0,61,93,11,189
Montsia,71,28,25,41,275,52,501
Noguera,30,15,9,70,275,45,449
Osona,162,72,46,172,627,56,1152
Pallars Jussa,11,4,0,28,89,7,140
Pallars Sobira,6,6,0,31,48,5,101
Pla d'Urgell,19,15,16,26,154,27,260
Pla de l'Estany,22,17,20,25,132,21,239
Priorat,4,6,1,35,38,8,94
Ribera d'Ebre,11,12,8,31,146,27,239
Ripolles,6,12,1,34,69,9,133
Segarra,17,7,4,17,131,36,216
Segria,264,84,67,175,811,144,1570
Selva,116,56,82,269,670,132,1335
Solsones,11,9,1,72,75,7,176
Tarragones,258,52,56,245,671,95,1396
Terra Alta,3,6,5,24,45,14,100
Urgell,14,3,7,21,132,29,210
Val d'Aran,14,3,1,9,66,9,105
Valles Occidental,670,172,174,992,2277,246,4576
Valles Oriental,233,113,68,429,1198,145,2201
